1477417493852 lifecam19 364.292419434 3304.79272461 1.67601168156
1477417493919 lifecam20 363.677612305 3304.96142578 1.67489230633
1477417493923 lifecam19 362.448486328 3305.40380859 1.67010772228
1477417493987 lifecam20 361.764587402 3305.41821289 1.66057884693
1477417493991 lifecam19 361.469665527 3305.29296875 1.66178357601
1477417494040 lifecam20 361.620452881 3305.20751953 1.65677964687
1477417494052 lifecam19 361.701568604 3305.57519531 1.65302884579
1477417494117 lifecam20 362.238037109 3305.42944336 1.66406548023
1477417494121 lifecam19 363.714111328 3304.60400391 1.67217075825
1477417494188 lifecam20 365.712402344 3304.08666992 1.67067205906
1477417494192 lifecam19 366.233337402 3303.81933594 1.67325031757
1477417494255 lifecam20 365.665740967 3303.92773438 1.67710959911
1477417494259 lifecam19 365.56854248 3303.80371094 1.67384135723
1477417494317 lifecam20 366.491119385 3303.65966797 1.66646778584
1477417494321 lifecam19 367.154785156 3303.5546875 1.67436420918
1477417494388 lifecam20 367.055328369 3303.71630859 1.68241655827
1477417494392 lifecam19 366.458007812 3304.09619141 1.67493712902
1477417494455 lifecam20 365.949554443 3304.26367188 1.66915166378
1477417494459 lifecam19 365.949554443 3304.26367188 1.66915166378
1477417494588 lifecam20 366.085205078 3304.17675781 1.6700514555
1477417494591 lifecam19 365.966888428 3304.3046875 1.66961920261
1477417494656 lifecam20 366.026641846 3304.50439453 1.66669023037
1477417494659 lifecam19 366.416534424 3304.39453125 1.66610515118
1477417494708 lifecam20 366.672607422 3304.43823242 1.67042887211
1477417494720 lifecam19 366.756561279 3304.51342773 1.67528784275
1477417494785 lifecam20 366.96697998 3304.43212891 1.67197740078
1477417494789 lifecam19 366.89541626 3304.23510742 1.66569530964
1477417494855 lifecam20 366.443145752 3304.17773438 1.66563689709
1477417494858 lifecam19 366.053405762 3304.28076172 1.66622412205
1477417494990 lifecam19 366.328643799 3304.16259766 1.66996061802
1477417494993 lifecam20 366.60269165 3304.01977539 1.67159163952
1477417495056 lifecam20 366.34197998 3304.06542969 1.67059385777
1477417495058 lifecam19 366.066741943 3304.19384766 1.6673220396
1477417495123 lifecam20 365.507049561 3304.2890625 1.67596685886
1477417495127 lifecam19 365.560882568 3304.00219727 1.68175971508
1477417495176 lifecam20 365.930297852 3303.7175293 1.67929780483
1477417495188 lifecam19 365.858856201 3303.40869141 1.6773763895
1477417495256 lifecam20 365.454284668 3303.03955078 1.67831718922
1477417495259 lifecam19 365.62878418 3302.61035156 1.67984449863
1477417495376 lifecam20 365.584838867 3302.17700195 1.6867262125
1477417495388 lifecam19 365.547943115 3301.77929688 1.68202221394
1477417495454 lifecam20 365.510894775 3302.00268555 1.68240606785
1477417495457 lifecam19 365.140869141 3301.98242188 1.68260467052
1477417495523 lifecam20 365.58972168 3302.15576172 1.67223036289
1477417495526 lifecam19 366.759002686 3302.33618164 1.67572438717
1477417495576 lifecam20 367.424072266 3303.11157227 1.67235195637
1477417495588 lifecam19 365.942504883 3305.95654297 1.65193784237
1477417495653 lifecam20 365.004974365 3308.5078125 1.64527714252
1477417495657 lifecam19 365.66595459 3308.41015625 1.65222036839
1477417495726 lifecam20 366.675567627 3306.39697266 1.65422236919
1477417495728 lifecam19 366.708557129 3305.63330078 1.66164553165
1477417495791 lifecam20 365.831481934 3306.79394531 1.66369664669
1477417495794 lifecam19 365.899749756 3307.69677734 1.66193163395
1477417495853 lifecam20 366.607879639 3310.140625 1.67138326168
1477417495857 lifecam19 366.646942139 3314.82421875 1.68218910694
1477417495924 lifecam20 365.822937012 3320.31689453 1.67846405506
1477417495926 lifecam19 365.237579346 3325.29956055 1.66706097126
1477417495992 lifecam20 365.056060791 3328.35839844 1.67110598087
1477417495994 lifecam19 365.097351074 3329.8815918 1.67921960354
1477417496127 lifecam20 363.176147461 3335.13964844 1.65887248516
1477417496131 lifecam19 361.551849365 3341.02832031 1.63562333584
1477417496191 lifecam20 361.743011475 3344.66357422 1.63042962551
1477417496194 lifecam19 362.089416504 3348.17285156 1.62685286999
1477417496243 lifecam20 361.589538574 3351.67382812 1.627394557
1477417496256 lifecam19 361.362792969 3355.17529297 1.62400066853
1477417496321 lifecam20 361.523254395 3358.58740234 1.6256557703
1477417496325 lifecam19 361.28112793 3361.96777344 1.61907041073
1477417496391 lifecam20 361.060760498 3365.07421875 1.62696421146
1477417496393 lifecam19 360.921844482 3367.38525391 1.61801159382
1477417496512 lifecam19 360.884338379 3372.26196289 1.62812650204
1477417496514 lifecam20 360.838409424 3377.58837891 1.63079965115
1477417496591 lifecam20 361.723205566 3380.30419922 1.60634577274
1477417496594 lifecam19 361.927093506 3383.80419922 1.60153710842
1477417496659 lifecam20 361.103851318 3387.0 1.60387337208
1477417496661 lifecam19 360.783325195 3390.49975586 1.60606586933
1477417496711 lifecam20 361.014099121 3393.99975586 1.60339987278
1477417496724 lifecam19 360.857208252 3396.91015625 1.59675657749
1477417496792 lifecam20 360.095672607 3400.41015625 1.59736907482
1477417496794 lifecam19 359.662445068 3403.42529297 1.59198200703
1477417496913 lifecam20 360.270141602 3410.42529297 1.58757126331
1477417496925 lifecam19 360.443756104 3416.16992188 1.5814832449
1477417496989 lifecam20 359.582244873 3419.66992188 1.57644236088
1477417497060 lifecam20 359.716827393 3423.16992188 1.57320654392
1477417497116 lifecam20 243.319503784 3423.77099609 1.55534398556
1477417497189 lifecam20 244.076309204 3430.56542969 1.54710614681
1477417497327 lifecam20 245.710098267 3441.47998047 1.48423933983
1477417497380 lifecam20 246.429214478 3448.03173828 1.49528062344
